Gender_Male,Married_Yes,Dependents,Education_Grad,Applicant_Income,Credit_Score_Good,Loan_Status_Approved
0,1,0,0,10429,1,0
1,1,3,1,2828,1,1
0,0,0,1,1911,0,1
0,0,2,1,13425,0,1
0,1,0,1,935,1,1
1,1,2,0,513,0,0
0,1,0,0,4238,0,0
0,1,0,0,1994,0,0
0,1,3,1,1316,0,1
1,1,0,1,5253,1,1
0,0,0,0,3622,0,0
0,1,3,0,1898,0,0
0,1,3,1,1070,0,1
0,0,1,0,5990,0,0
1,0,1,0,5014,0,0
0,0,0,1,2753,0,1
1,0,0,1,13060,1,1
1,1,0,1,1266,1,1
1,1,1,1,879,0,0
0,1,2,1,1713,1,1
1,1,2,0,2874,0,0
0,1,2,1,3621,0,0
1,1,0,1,2457,1,1
1,0,0,1,3950,0,1
1,1,0,1,1095,0,0
1,0,0,0,9461,0,0
1,0,0,1,2791,0,0
1,1,2,1,7286,1,1
1,0,0,0,3921,0,0
1,1,0,1,4295,0,0
0,0,0,1,4702,0,1
0,1,2,1,4264,1,1
1,0,1,1,4984,0,0
1,1,0,1,8632,1,1
1,1,0,1,3488,0,1
0,1,1,1,5256,1,1
1,1,0,0,2774,0,0
0,1,2,1,9434,1,1
0,0,1,1,1735,0,0
0,0,0,1,12591,0,0
0,0,0,1,2886,0,0
0,1,3,1,948,1,1
1,0,0,1,3302,0,1
1,1,2,0,1728,0,0
1,1,2,1,5840,1,1
1,0,3,1,1768,0,1
1,0,3,1,2086,0,0
0,1,2,0,657,0,0
1,0,0,1,2075,0,0
1,1,0,1,428,0,0
0,1,2,1,839,1,1
1,1,1,0,5477,1,1
0,1,0,1,5589,1,1
1,1,3,0,4189,0,0
0,0,0,1,1375,0,1
1,0,0,1,2869,0,0
1,1,0,1,2972,0,0
0,1,0,1,1180,0,1
0,0,0,1,9924,1,1
0,0,0,1,6014,0,0
0,1,0,0,2497,0,1
0,0,1,1,3045,0,1
0,1,1,1,3521,0,1
0,0,1,1,582,0,1
0,1,3,1,2446,0,1
1,0,0,1,1727,0,0
1,1,0,1,1337,1,1
0,0,2,1,2380,0,0
1,0,0,0,12558,0,1
1,1,3,0,4977,0,0
1,0,0,1,1887,0,1
1,1,3,1,4712,0,1
0,0,0,1,9131,1,0
1,1,2,1,6246,1,1
0,0,0,1,3126,0,1
1,1,3,1,1776,0,0
1,0,0,0,5211,0,0
1,1,1,1,4083,1,1
0,0,3,1,6100,0,1
1,1,0,1,4954,0,1
0,1,1,1,6902,1,1
1,1,1,1,1942,1,1
0,0,0,1,8551,0,0
1,1,1,1,3491,0,0
0,0,1,0,15681,0,0
0,1,3,1,1717,0,1
1,0,0,1,11953,1,1
0,1,0,1,3492,1,1
1,0,3,1,1770,0,0
1,0,2,1,2024,0,0
1,1,0,0,2307,0,0
1,0,1,0,4185,0,1
1,0,0,0,4529,0,1
1,1,0,1,1883,1,1
1,0,0,1,2923,0,1
1,0,0,1,16544,0,1
1,0,1,1,11873,0,0
1,1,0,0,4226,0,1
1,0,3,1,3072,0,1
0,1,3,1,3281,0,0
0,0,1,1,4869,0,0
1,0,0,1,1315,0,0
1,0,0,1,2426,0,1
1,1,2,1,784,0,0
1,0,1,1,4102,0,1
1,0,0,0,5002,0,1
1,1,3,0,2025,0,0
1,0,2,1,10500,0,1
1,1,3,1,1118,0,0
0,1,1,1,923,0,1
1,0,1,1,3567,0,1
0,1,0,1,6888,1,0
1,0,3,1,11466,0,1
1,1,2,1,2065,0,0
0,1,0,1,7065,1,0
1,0,0,1,2890,0,0
0,1,0,1,2596,1,0
1,1,2,0,6044,1,1
1,1,3,0,5023,1,1
0,1,0,1,844,1,1
1,1,1,0,9713,1,1
0,0,0,1,8991,1,0
1,1,3,0,1807,0,1
0,0,2,0,4091,0,0
0,1,2,1,4425,0,1
