User ID,Gender,Age,EstimatedSalary,Purchased (Target)
15624510,Male,19,"19,000",0
15810944,Male,35,"20,000",0
15668575,Female,26,"43,000",0
15603246,Female,27,"57,000",0
15804002,Male,19,"76,000",0
15728773,Male,27,"58,000",0
15598044,Female,27,"84,000",0
15694829,Female,32,"150,000",1
15600575,Male,25,"33,000",0
15727311,Female,35,"65,000",0
15570769,Female,26,"80,000",0
15606274,Female,26,"52,000",0
15746139,Male,20,"86,000",0
15704987,Male,32,"18,000",0
15697686,Male,18,"82,000",0
15733883,Male,29,"80,000",0
15617482,Male,47,"25,000",1
15704583,Male,45,"26,000",1
15621083,Female,46,"28,000",1
15649487,Male,48,"29,000",1
15736760,Male,45,"22,000",1
15694395,Female,47,"49,000",1
15750447,Male,37,"79,000",1
15663939,Female,31,"118,000",1
15631159,Male,45,"85,000",1
